seq_no,school_id,census_no,name,address,tel,email,province,district,zone,division,medium,sex,government_type,school_category,grade_span,difficulty,total_students
1,0114001,1,DE LA SALLE COLLEGE,"MUTWAL, COL-15.",0112522125,delasalle15@gmail.com,Western,Colombo,Colombo,Colombo North,Sinhala,Male,Provincial,1AB,Grade 1-13,Congenial,1077
2,0114002,2,MODARA ANANDA M.M.V.,"MODARA, COL-15.",0112523245,modaraanandam@umail.com,Western,Colombo,Colombo,Colombo North,Sinhala,Mixed,Provincial,1C,Grade 6-13,Congenial,549
3,0114003,3,ST.ANTHONY'S B.M.V.,"MUTWAL, COL-15.",0112527128,stanthonysbmvcol15@gmail.com,Western,Colombo,Colombo,Colombo North,Sinhala,Female,Provincial,1C,Grade 6-13,Congenial,847
4,0114004,4,KUMARA V.,"COLLEGE ST.,",,KOTAHENA. 0112385846princecollege1998@gmail.com,Western,Colombo,Colombo,Colombo North,Sinhala,Mixed,Provincial,1C,Grade 1-13,Not Congenial,559
5,0114005,5,MATT.ST.JOHN'S M.V.,"CENTRE RD, COL-15.",0112540493,,Western,Colombo,Colombo,Colombo North,Sinhala/ Tamil,Mixed,Provincial,Type 2,Grade 1-11,Congenial,574
6,0114006,6,ST.LUCIA'S COLLEGE,"KOTAHENA, COL-13.",0112452121,stluciascollege@yahoo.com,Western,Colombo,Colombo,Colombo North,Sinhala/ Tamil,Male,Provincial,Type 2,Grade 1-11,Not Congenial,725
7,0114007,7,CATHEDRAL BOYS COLLEGE,"KOTAHENA ST, COL-13.",0112320169,cathedralcollegekotahena@gmail.com,Western,Colombo,Colombo,Colombo North,Sinhala,Male,Provincial,Type 3,Grade 1-5,Not Congenial,244
8,0114008,8,KOTAHENA PRESIDENT COLLEGE,"KOTAHENA, COL-13.",0112321182,kpresidentcollege@gmail.com,Western,Colombo,Colombo,Colombo North,Sinhala,Mixed,Provincial,Type 2,Grade 1-11,Not Congenial,179
9,0114009,9,ST.ANDREW'S V.,"LUNUPOKUNA, MODARA, COL-15.",0112521342,standrescolombo15@gmail.com,Western,Colombo,Colombo,Colombo North,Sinhala,Mixed,Provincial,Type 2,Grade 1-11,Not Congenial,161
10,0114010,10,MODARA SRI MEDHANANDA V.,"SHANTHA JAMES ST, COL-15.",0112527141,,Western,Colombo,Colombo,Colombo North,Sinhala,Mixed,Provincial,Type 2,Grade 1-11,Not Congenial,152
11,0114011,11,MODARA ST.JOHN'S V.,"MODARA ST, COL-15.",0112521714,MODARASTJOHN@GMAIL.COM,Western,Colombo,Colombo,Colombo North,Sinhala,Mixed,Provincial,Type 2,Grade 1-11,Not Congenial,136
12,0114012,12,AVE MARIA V.,"MATTAKKULIYA, COL-15.",0112522090,avemariacollege@gmail.com,Western,Colombo,Colombo,Colombo North,Sinhala,Mixed,Provincial,Type 2,Grade 1-11,Not Congenial,556
13,0114013,13,SRI SANGHABODHI M.V.,"GRANDPASS, COL-14.",0112529885,sangabodhi@gmail.com,Western,Colombo,Colombo,Colombo North,Sinhala,Mixed,Provincial,Type 2,Grade 1-11,Not Congenial,282
14,0114014,14,BLOEMENDHAL SIN.V.,"SIRIMAVO BANDARANAYAKA MW, COL-14.",0112439429,bloemendhalsv@gmail.com,Western,Colombo,Colombo,Colombo North,Sinhala,Mixed,Provincial,Type 2,Grade 1-11,Not Congenial,400
15,0114016,16,SRI GUNANANDA V.,"JINANANDA MW, KOTAHENA, COL-13.",,gunanandavidyalaya@gmail.com,Western,Colombo,Colombo,Colombo North,Sinhala,Mixed,Provincial,Type 3,Grade 1-5,Not Congenial,50
16,0114022,17,THOTAWATTA METHODIST V.,"CHURCH RD, MATTAKKULIYA, COL-15.",0112520089,thotawattamethodist@gmail.com,Western,Colombo,Colombo,Colombo North,Sinhala,Mixed,Provincial,Type 3,Grade 1-5,Not Congenial,86
17,0114018,18,ROMAN CATHOLIC B.V.,"WASALA RD, KOTAHENA, COL-13.",0112444170,romancatholicbalika@gmail.com,Western,Colombo,Colombo,Colombo North,Sinhala,Female,Provincial,Type 2,Grade 1-11,Not Congenial,343
18,0114019,19,ST.JAME'S P.V.,"MUTHUWELLA MW, MODARA, COL-15.",,stjamesprimaryschoolmodara@yahoo.com,Western,Colombo,Colombo,Colombo North,Sinhala,Mixed,Provincial,Type 3,Grade 1-5,Not Congenial,290
19,0114017,20,MAHAWATTA ST.ANTHONY'S SIN.V.,"JAYANTHA MALLIMARACHCHI MW, MAHAWATTA, COL-14.",0112524550,stanthonysin@gmail.com,Western,Colombo,Colombo,Colombo North,Sinhala,Mixed,Provincial,Type 2,Grade 1-11,Not Congenial,803
20,0114020,21,ST.ANTHONY'S B.P.V.,"MADAMPITIYA RD, COL-15.",0112520757,stanthonysbpv70@gmail.com,Western,Colombo,Colombo,Colombo North,Sinhala,Female,Provincial,Type 3,Grade 1-5,Congenial,483
21,0114021,22,AGAMETHI V.,"BLOEMENDHAL RD, COL-15.",,,Western,Colombo,Colombo,Colombo North,Sinhala,Mixed,Provincial,Type 2,Grade 1-11,Not Congenial,260
22,0115001,23,KOTAHENA M.M.V.,"MAHA VIDYALA MAWATHA, COLOMBO-13",0112324275,kcc1918@gmail.com,Western,Colombo,Colombo,Colombo Central,Sinhala/ English,Mixed,National,1AB,Grade 6-13,Very Congenial,914
23,0115002,24,SRI SANGARAJA M.M.V.,"SANGARAJA MAWATHA, COL-10",0112438094,sangarajaclc2yahoo.com,Western,Colombo,Colombo,Colombo Central,Sinhala,Mixed,Provincial,Type 2,Grade 1-11,Congenial,448
24,0115003,25,MAHABODHI M.V.,"43, FOSTER LANE, COL-10",0112694684,mahabodiclo@gmail.com,Western,Colombo,Colombo,Colombo Central,Sinhala,Male,Provincial,1C,Grade 1-13,Congenial,367
25,0115004,26,RAJASINGHE M.V.,"BASELINE ROAD, DEMATAGODA, COL-09",0112695113,rajasinghecol@gmail.com,Western,Colombo,Colombo,Colombo Central,Sinhala,Male,Provincial,1C,Grade 1-13,Congenial,596
26,0115005,27,MIHINDU MAWATHA SIN.M.V.,"MIHINDU MAWATHA, COL-12",0112320998,mihinduvid@sltnet.lk,Western,Colombo,Colombo,Colombo Central,Sinhala,Mixed,Provincial,Type 2,Grade 1-11,Not Congenial,134
27,0115006,28,SIRI SARIPUTHTHA M.V.,"VITHANAGE MAWATHA, COL-02",0112304785,spvceducation@gmail.com,Western,Colombo,Colombo,Colombo Central,Sinhala,Mixed,Provincial,Type 2,Grade 1-11,Not Congenial,96
28,0115007,29,VIJAYABA M.V.,"STACE ROAD, COL-10",0112348843,wijayabamahavidyalaya@gmail.com,Western,Colombo,Colombo,Colombo Central,Sinhala,Mixed,Provincial,Type 2,Grade 1-11,Not Congenial,603
29,0115008,30,ST.JOSEPH'S B.M.V.,"GRANDPASS, COL-14",0112327240,stjbmvcoll14@outlook.com,Western,Colombo,Colombo,Colombo Central,Sinhala,Female,Provincial,1C,Grade 1-13,Congenial,1378
